"Program","What It Is","Money Direction","Participant Pay or Cost 2026","Referral / Partner Economics","Location","Duration","Stage","Selectivity","Status 2026","Source"
"Mile High Youth Corps (MHYC)","Denver-based AmeriCorps conservation and YouthBuild corps; crews do urban greening, trail work, environmental education, and construction skills training for youth and young adults in Colorado.","YOU GET PAID","Living stipend (exact 2026 amount unverified from milehighyouthcorps.org) + AmeriCorps Segal Education Award upon completion + GED/HSE support + job training certifications + health insurance.","None — direct application at milehighyouthcorps.org.","Denver, Colorado metro area","Varies: seasonal (3-6 months) and year-round tracks","Gap year; ages 16-24","Low; open enrollment, serves low-income youth","ACTIVE — not independently verified as of August 2026 due to AmeriCorps funding disruptions in 2025; status listed as operating but verify at milehighyouthcorps.org.","https://milehighyouthcorps.org/"
"Jumpstart (AmeriCorps State & National operator)","AmeriCorps program placing college students part-time in Head Start and early childhood classrooms to support preschool literacy and language development. School-year service term for college students alongside courses.","YOU GET PAID","Living stipend (part-time AmeriCorps; exact amount unverified from jstart.org for 2026) + Segal Education Award (prorated for part-time term) upon completion + professional development.","None — apply through campus partner or jstart.org.","Multiple cities in ~15 states (Boston, Chicago, Los Angeles, New York, Washington DC, and others)","Academic school year (part-time alongside college)","College students (gap year or during college); minimum age 17","Low-moderate; designed for college students","ACTIVE — program continuing operations; verify current stipend at jstart.org as 2025 AmeriCorps cuts affected some grantees.","https://www.jstart.org/"
"Where There Be Dragons (WTBD) – Gap Year/Semester","GYA-accredited small-group (12 students, 3 instructors) immersive gap semester abroad; homestays, local apprenticeships, wilderness trekking; destinations in Asia, Latin America, Africa, Europe. Strictly limited to 200 students/year.","YOU PAY","Tuition $9,950–$19,500 per semester (GYA-verified range). Does NOT include international flights (~$800–$2,000) or personal spending. All-in estimate: $12,000–$22,000.","WTBD is a GYA-accredited member; the GYA does not publish a counselor commission scheme. No public affiliate or IEC commission program found. Independent educational consultants may refer, but no published rate; sector-norm band is 10–15% of program fee if informal arrangements exist, though WTBD's ethics stance on commissions is unverified. Mark: practice exists, rate private.","Asia, Latin America, Africa, Europe (multi-destination per program)","Semester (~3–4 months)","Post-high school / pre-college","Selective; application + interview; 200-student annual cap","ACTIVE – programs listed and enrolling for Fall 2026 and Spring 2027","https://www.gapyearassociation.org/program-providers/where-there-be-dragons/"
"Carpe Diem Education – Semester Programs","GYA-accredited semester gap programs across 18 countries on 5 continents for ages 17–22; experiential education, community service, homestays, language immersion. Also offers Latitudes Year (year-long, earns up to 36 college credits).","YOU PAY","Semester: ~$14,500–$17,500 (includes housing, meals, in-country transport, program activities); Latitudes Year: ~$28,000–$32,000. International flights not included (~$800–$2,000 additional). All-in semester: ~$16,000–$20,000.","GYA member. No public IEC commission program found on their website. Carpe Diem publishes an Access Scholarship ($5,000) and Inclusion Scholarship ($2,000) for diversity – these are not counselor fees. Counselor referrals may exist informally; rate unverified. Sector norm 10–15% applies if informal arrangements operate.","18 countries across 5 continents (Central America, Southeast Asia, South America, Africa, Europe)","Semester (3–4 months) or full year (10–12 months)","Post-high school / pre-college, ages 17–22","Selective; application required","ACTIVE – website active, programs listed for 2026–27","https://carpediemeducation.org/programs/"
"Thinking Beyond Borders – Gap Year Semester","Former GYA-accredited gap semester provider known for social-justice-focused experiential learning in Latin America and Southeast Asia; homestays, community work, leadership curriculum.","YOU PAY","Last published tuition: $14,500 per semester (GoOverseas listing, last updated 2021). Price is stale and unverifiable – program no longer operating.","N/A – program closed; no referral structure active.","Latin America (Peru, Guatemala), Southeast Asia","Semester (13–26 weeks)","Post-high school / pre-college","Was selective; application required","CLOSED – GoOverseas listing explicitly states 'This organization is no longer operating programs.' No active web presence for enrollment.","https://www.gooverseas.com/gap-year/peru/thinking-beyond-borders/14575"
"Pacific Discovery – Gap Semester","GYA-accredited 10-week semester gap programs in New Zealand/Australia, Southeast Asia, Nepal/Tibet, Central America, South America, Polynesia, and a 'Rewilding Residential' option. Small groups, adventure and cultural immersion.","YOU PAY","Tuition $15,000–$16,500 per 10-week semester (NZ/Australia highest at $16,500; Southeast Asia/Central America at $15,000). International flights NOT included (~$800–$2,000). All-in estimate: $16,500–$19,000.","GYA member. No public affiliate or IEC commission program found. Sector practice of private IEC referral arrangements (10–15% band) may apply. Unverified for this operator specifically.","New Zealand, Australia, Southeast Asia, Nepal, Tibet, Central America, South America, Polynesia","10 weeks (semester)","Post-high school / gap year","Selective; rolling admissions; limited spaces (some 2026 programs show 1–5 spaces left)","ACTIVE – Fall 2026 programs running Sep–Nov 2026; Spring 2027 open","https://www.pacificdiscovery.org/need-to-know/availability"
"Rustic Pathways – Gap Semester / Mini Gap","GYA-accredited gap semester (10 weeks) and Mini Gap (8 weeks) programs combining service learning, cultural immersion, and adventure across multiple countries. Ages 17–22. Operator founded 1983 with 155,829 alumni.","YOU PAY","Gap Semester (10 weeks): $17,900; Mini Gap (8 weeks): $15,900. Excludes international airfare ($600–$2,000), passport/visa ($150–$400), personal spending ($150–$200/week), vaccinations ($100–$300). All-in estimate: $19,650–$22,400 for Mini Gap; $20,800–$24,000 for Gap Semester.","GYA member. No public IEC or school counselor commission program found on operator website. Rustic Pathways does not publish a referral/affiliate program. Sector norm: if informal IEC referrals exist, typical band is 10–15%; unverified for this operator.","Multiple countries (Latin America, Southeast Asia, Europe, Africa, Pacific – varies by program)","8–10 weeks","Post-high school, ages 17–22","Open enrollment with application; rolling admissions","ACTIVE – 2026 programs running; pricing page last modified July 16, 2026","https://rusticpathways.com/student-travel/program-costs"
"ARCC Gap – Gap Year Programs","GYA-accredited gap semester and year programs for ages 17–22; domestic (Western US) and international options combining service, adventure travel, and leadership development. Founded 1983.","YOU PAY","Programs range 4–26 weeks; tuition approximately $8,000–$20,000 depending on duration and destination (GoOverseas listing; 2026-specific price unverified on operator's own page). International flights additional. All-in unverified – mark as 'unverified 2026 pricing'.","GYA member. No published IEC or counselor commission program found. Sector norm applies if informal referrals operate (10–15% band). Unverified.","Western US (Montana, Wyoming, Utah, Colorado, Arizona) and international destinations","4–26 weeks","Post-high school / gap year, ages 17–22","Selective; application required","ACTIVE – listed on GYA and GoOverseas with open enrollment","https://www.gooverseas.com/gap-year/united-states-america/program/262200"
"Global Citizen Year (GCY) – Bridge Year","Formerly flagship US bridge year program placing recent high school graduates in host communities abroad (Senegal, Brazil, Ecuador, India) for 7–8 months of service-learning before college. Operated as nonprofit. Restructured and now operates under Tilting Futures brand.","YOU PAY","$21,000 USD (ExtracurricularHub listing citing official page as of Aug 2, 2026; formerly $15,000 – prices have risen post-restructure). Financial aid available. Application deadline for 2026–27 cycle listed as ~Oct 1, 2026 (unconfirmed by operator). All-in with flights: ~$23,000–$25,000.","Historically operated as a highly selective nonprofit with no published counselor commission structure. Tilting Futures branding change complicates verification. No public IEC affiliate program found. Mark: no commission published; confirm status at tiltingfutures.org.","Multiple international (Senegal, Brazil, Ecuador, India – varies by cycle)","7–8 months (full academic year bridge)","Post-high school, pre-college (bridge year)","Highly selective; application + interview; historically 2–5% acceptance rate","UNCERTAIN – Restructured as Tilting Futures; 2026–27 cycle application deadline not officially announced as of Aug 20, 2026. Treat as active but verify at tiltingfutures.org before advising students.","https://extracurricularhub.com/extracurriculars/global-citizen-year"
"Winterline Global Education – Gap Year","Skills-based gap year program teaching 20+ practical skills (cooking, first aid, filmmaking, navigation, negotiation, financial literacy) across 9 countries in one year. Ages 18–22. Partners with Northeastern University for credit.","YOU PAY","GoOverseas listing does not show 2026 tuition; historical pricing was approximately $29,000–$32,000/year including housing, meals, and in-program travel. Flights and visa additional. All-in estimate ~$32,000–$36,000. Mark: unverified 2026 price – check winterlineglobal.com directly.","GYA member. No public affiliate or IEC commission program found. Sector norm applies (10–15% band if informal IEC arrangements). Unverified.","9 countries across multiple continents (varies by cohort year)","Full year (~9–10 months)","Post-high school / gap year, ages 18–22","Selective; application required","ACTIVE – GoOverseas listing active; website functioning; verify current year enrollment at winterlineglobal.com","https://www.gooverseas.com/gap-year/multiple-countries/winterline-global-education/67179"
"Verto Education – Freshman Year Abroad","Accredited freshman-year-abroad program offering 12–16 transferable college credits (accredited via University of New Haven/NECHE) while traveling to international destinations (Spain, Italy, Costa Rica, England, Fiji, etc.). Partners with 70+ US colleges for guaranteed sophomore transfer. FAFSA-eligible.","YOU PAY","Program fee: $15,000–$25,000 per semester (all-inclusive: tuition, housing, most meals, health insurance, program excursions). Flights additional ($1,000–$2,500). Full-year cost: ~$50,000 program fees + $8,000–$10,000 personal/travel. All-in semester: $18,000–$31,000.","Verto has a formal network of partner colleges (70+); those schools receive enrolled students. No published IEC counselor commission program found. As a FAFSA-eligible institution, commission practices may differ from pure gap year operators. Mark: practice exists, specific rate private. Sector norm for study-abroad providers: 10–20% of tuition paid to referring agents.","Spain, Italy, England, Costa Rica, Fiji, and other destinations (varies by semester)","Semester (one term) or full year (two semesters)","Incoming college freshman (post-high school)","Selective with partner college acceptance; rolling admissions; application + interview","ACTIVE – Enrolling for 2026–27; programs running","https://eathealthy365.com/a-breakdown-of-verto-education-program-costs/"
"EF Gap Year – The Global Gap Year","EF Education First's 24-week gap year: Semester 1 is a 12-week multi-country tour (European Horizons, East Asian Odyssey, Spanish in Motion, or Globetrotter); Semester 2 is language immersion at one of 11 EF international campuses (Tokyo, Seoul, Rome, Barcelona, Paris, Nice, etc.). Optional college credit. Ages 18–25.","YOU PAY","GoAbroad listing 'starts at $900–$1,250' appears to be a per-week or partial-program rate; full-year programs estimated at $25,000–$45,000 (third-party aggregate). EF does not publish an all-in price publicly; flights, meals, and personal spending are additional. All-in full year estimated: $30,000–$50,000. Mark: unverified – confirm at efgapyear.com.","EF Education First maintains a large agent network globally for its language and travel products; commission rates for EF language programs typically 10–15%. Whether the same structure applies to EF Gap Year specifically is unverified. EF does not publish gap-year-specific counselor commission rates publicly.","Multiple countries (Europe, Asia, Americas) + EF language campuses in Tokyo, Seoul, Rome, Barcelona, Paris, Nice","24 weeks (full gap year) or single semester (12 weeks)","Post-high school / gap year, ages 18–25","Open enrollment; no selective application process","ACTIVE – 2026 and 2027 programs listed on GoAbroad as of May 2026","https://www.efgapyear.com/program-guides/pg-the-global-gap-1/"
"MOFGA Farm Apprenticeship (Maine)","Maine Organic Farmers and Gardeners Association apprenticeship program, started 1975. Matches beginning farmers (especially young adults) with 15 organic host farms. Immersive practicum: labor in return for room, board, stipend, and mentorship through the full growing season.","YOU GET PAID","$0 cost to participant. Typical placement: room and board provided; all farms offer financial compensation (stipend amounts vary). Example: Roque Island Homestead (MOFGA-listed, March 2026) pays $80/day plus room and board. Wolfe's Neck Center Dairy pays $15.50/hr with housing included. Participant pays transport to farm.","None.","Maine, USA (Unity-area coordination; host farms statewide)","April–October (full growing season preferred); flexible minimum","Gap year / career entry","Moderate — application required; farms select apprentices","Active. 2026 listings confirmed on mofga.org. About 15 host farms active.","https://www.mofga.org/apprenticeship"
"Oregon Farm Corps (Rogue Farm Corps)","Oregon nonprofit placing beginning farmer apprentices on paid seasonal positions at sustainable host farms across Oregon (Portland, Willamette Valley, Rogue Valley chapters). Apprentices are W-2 employees. Includes educational event series.","YOU GET PAID","$0 to participant. Apprentices hired as seasonal hourly employees. Housing provided by some host farms but not all — check each listing. Educational events provided. Some farms offer housing; others do not.","None.","Oregon, USA","Seasonal, April–October roughly; educational events through Oct 28","Gap year / career entry","Moderate — application required","Active. 2026 season educational events confirmed through October 28 (calendar on oregonfarmcorps.org).","https://oregonfarmcorps.org"
"Quivira Coalition New Agrarian Program","Competitive 8-month paid ranching apprenticeship in regenerative agriculture. Mentor sites in CO, ID, MT, TX, WY. Apprentices are W-2 employees. Private on-ranch housing provided. Structured curriculum including REGENERATE conference, workshops, monthly check-ins.","YOU GET PAID","$0 cost. Pay: W-2 wages — hourly or monthly stipend (example: Sather Farm offers $1,200/month plus housing, utilities, gas, and food). Housing: private, furnished, on-ranch. Some sites provide food; others do not. Applications for 2026 season are closed as of August 2026; 2027 applications open November 1, 2026.","None.","CO, ID, MT, TX, WY, NM, OK (varies by mentor site)","8 months (approximately March–November)","Gap year / career entry","High — competitive; 2026 fully subscribed","Active. 2026 season running. Apply for 2027 from November 2026.","https://quiviracoalition.org/newagrarian/apprenticeship"
"SCI-IVS USA (Service Civil International)","US branch of international peace-through-service network (40+ countries). Coordinates short-term voluntary workcamps (2–3 weeks) where international volunteers live and work together on community projects. Accommodation and meals provided by local host.","YOU PAY","SCI sending fee: typically €100–€150 (equivalent ~$110–$165 USD) per workcamp, covering insurance and board at camp. Additional in-country fees may apply for some Global South projects (€30–€200 on arrival). Flights are entirely participant's cost. All-in for a European workcamp from USA: approximately $800–$1,500. Correct classification: YOU PAY for the overall budget, though accommodation/meals included in the camp fee.","None.","USA and worldwide (Europe, Americas, Asia, Africa)","2–3 weeks per workcamp","Gap year / short immersion","Low-moderate — priority on diversity per camp","Active. SCI LTV USA branch confirmed active 2026. Copyright 2026 on volunteersciusa.org.","https://www.volunteersciusa.org"
"Volunteers for Peace (VFP)","US-based international workcamp coordinator, placing Americans in short-term international volunteer workcamps similar to SCI. Programs in 100+ countries. Accommodation and meals typically included in program fee.","YOU PAY","Program fee: $495 per placement (under 18: $595). Many host organizations add an extra local fee disclosed in camp listing. Flights not included. All-in from USA to a European camp: approximately $1,000–$2,000. Correct classification: YOU PAY once flights are added.","None.","Worldwide (100+ countries)","2–3 weeks per workcamp","Gap year / short immersion","Low-moderate","Active as of research date. Verify current listings on vfp.org.","https://vfp.org"
"Camphill Communities (USA/Canada)","Network of 15 intentional communities in USA/Canada where volunteers (coworkers) live alongside adults with developmental disabilities in a lifesharing model. Biodynamic farming, crafts, household work. Room, board, health insurance, and monthly stipend provided.","YOU GET PAID","$0 cost. Benefits confirmed 2026 at multiple Camphill sites: private room and board in shared home, monthly stipend (Dandelion House example: $500/month; Camphill Kimberton: 'small monthly stipend'), health insurance, vacation time, student loan assistance for US citizens possible (Camphill Copake), college debt assistance programs. Participant pays travel to the community.","None.","USA and Canada (15 communities in multiple states incl. NY, PA, MN, OR)","Typically 1 year (renewable); interns: 1–3 months","Gap year / service year","Moderate — application and interview required","Active. Camphill.org confirmed recruiting April 2026. Multiple communities actively listing positions.","https://camphill.org/volunteer"
"Catholic Worker Houses (live-in volunteer)","Network of ~200 US Catholic Worker houses offering live-in community membership. Volunteers do hospitality work (food, shelter, care for marginalized people) and receive room, board, and a small stipend. Rooted in Dorothy Day tradition; open to non-Catholics.","YOU GET PAID","$0 cost. Typical: room and board provided, monthly stipend ranges $0 (voluntary simplicity) to $500/month (e.g., Dandelion House Portland, confirmed 2026), health coverage varies by house. Participant contributes time and presence. Some houses expect shared poverty lifestyle.","None.","USA-wide (~200 houses)","1 year typical; some shorter-term","Gap year / service year","Moderate — discernment process (interview / trial visit)","Active. Multiple 2026 openings listed on catholicworker.org as of May 2026.","https://catholicworker.org/catholic-worker-volunteer-opportunities"
"Taizé Community (France)","Ecumenical Christian monastic community in Burgundy, France welcoming young adults 18–35 weekly for prayer, reflection, and community life. Living conditions simple (tents or cabins). Participants contribute to community work. A sliding-scale contribution covers meals and accommodation.","YOU PAY","Sliding-scale contribution based on country of origin and age — US youth 15–24 pay a modest suggested contribution (unspecified exact dollar amount, varies by means). Budget example: for a US participant, flights to France ~$600–$1,000 plus the community contribution. Net cost is significant once flights are added. Short stays possible (weekend–week). Long-term volunteer possibilities exist for those discerning faith vocation (free stay, work in community).","None.","Taizé, Burgundy, France","Week (standard); weekend possible","Gap year / spiritual","Low — registration required; open to all","Active. 2026 schedule confirmed: weekly gatherings Feb 1–Dec 24, taize.fr.","https://www.taize.fr/en/youth"
"Plum Village / Deer Park Monastery (Buddhist)","Thich Nhat Hanh tradition monasteries. Plum Village in France and Deer Park Monastery in Escondido CA offer extended stays (up to 6–9 months) for lay practitioners wishing to live and train with monastics. Work practice (karma yoga) is central; no fees during extended stay. Retreats separate and paid.","NET NEUTRAL","Extended stay (3–6+ months): free — no fee for long-term lay practitioners living and working with the community. Application required; must participate in full 90-Day Rains Retreat to qualify for some hamlets. No online application process. Retreats (shorter) are charged separately. Flights own cost.","None.","France (Plum Village); Escondido, CA (Deer Park); Batesville, MS (Magnolia Grove)","Up to 6–9 months for extended lay stay","Gap year / contemplative","High — application by direct contact with each hamlet; preference for those completing full retreat","Active. Plum Village extended stay page confirmed 2026 (plumvillage.org/retreats/extended-stay).","https://plumvillage.org/retreats/extended-stay"
"Kibbutz Volunteer Program (Israel / KPC)","The Kibbutz Program Center places international volunteers aged 18–35 on ~9 participating kibbutzim for 10-week to 12-month stays. Work in agriculture, kitchens, laundry, communal services ~8.5 hrs/day, 5 days/week. Room, board, laundry, and monthly pocket money (~NIS 650 ≈ $180 USD) provided.","NET NEUTRAL","No program fee from KPC. Volunteer must purchase mandatory health insurance (cost not specified but estimated ~$1–3/day for young volunteers). Must obtain a B-4 volunteer visa from Israeli consulate before arrival — requires FBI background check with apostille (significant administrative cost and lead time). Flights to Israel approximately $800–$1,500. Pocket money ~$180/month (NIS 650 per KPC registration page). Important: ongoing security situation in Israel; evaluate current travel advisories before committing. US State Department advises exercising caution in Israel and Gaza region. The 2024–2025 conflict has significantly reduced program capacity.","None.","Israel (various kibbutzim including Ketura, Lotan, Ein Gev, Neot Semadar, Revivim and others)","10 weeks minimum, up to 12 months","Gap year / cultural immersion","Moderate — interview and extensive documentation required","CAUTION. KPC website active and accepting applications (kibbutzvolunteers.org.il confirmed 2026). However, regional conflict context requires current travel advisory review. Some kibbutzim in conflict zones; verify specific placement location.","https://kibbutzvolunteers.org.il"
"Xanterra — Yellowstone National Park Lodges","Hospitality concessionaire running lodges, restaurants, and tours inside Yellowstone; hires housekeepers, cooks, porters, painters, and more","YOU GET PAID","$15.70/hr (housekeeper/food-service) to $25.75/hr (painters); ~32-40 hrs/week. Housing: shared dorm deducted at $17/day (~$119/wk) including meals and laundry. Net for housekeeper: ~$285/wk after housing at 32 hrs","No verified employer referral bonus found. CoolWorks charges employer job-posting fees; no affiliate payout to job-seekers documented","Yellowstone National Park, WY","Seasonal, typically May–Oct (summer) or winter season","Post-HS / Both","Open","Operating — actively hiring summer 2026","https://www.xanterrajobs.com/main/yellowstone-national-park/home"
"Xanterra — Grand Canyon South Rim","Concessionaire hospitality at South Rim lodges, restaurants, and tours; hires food service, tour bus drivers, housekeeping","YOU GET PAID","$15.85–$16.80/hr general hospitality; $25.50/hr tour bus drivers; tipped roles $12.15–$20.75/hr + tips. Dorm housing ~$14.60/day; three-meal plan ~$9.71/day. Net: varies significantly by role and tips","No verified referral bonus. CoolWorks platform posts listings; no affiliate payout documented","Grand Canyon National Park, South Rim, AZ","Seasonal; varies by role, spring–Oct most common","Post-HS / Both","Open","Operating — actively hiring summer 2026","https://www.xanterrajobs.com/main/grand-canyon/explore"
"Aramark Destinations — Yosemite National Park","Concessionaire running Yosemite Valley Lodge, The Ahwahnee, Curry Village; hires front desk, food service, retail, porters, bussers","YOU GET PAID","$18.80–$19.80/hr depending on role (food service cashier $19.30, front desk $19.80, busser $18.80). Housing unverified in current 2026 postings — contact Aramark directly","Unverified for Aramark Yosemite specifically","Yosemite National Park, CA","Seasonal, typically spring–fall","Post-HS / Both","Open","Operating — multiple 2026 postings active as of July 2026","https://aramarkcareers.com/UnitedStates/job/Yosemite-National-Park-Front-Desk-Clerk-The-Ahwahnee-Hotel-Yosemite-Ahwahnee-Hotel-CA-95389/1376870400/"
"Aramark Destinations — Denali National Park","Hospitality worker at Denali park tours and lodging; food service, housekeeping, retail","YOU GET PAID","""Competitive wages"" listed — no numeric figure published. Housing: on-site provided; mandatory $16/day all-inclusive meal plan. Wage unverified","Unverified","Denali National Park, AK","~Apr 30–Sep 17, 2026","Post-HS / Both","Open","Operating — posted Apr 2026","https://aramarkcareers.com/UnitedStates/job/Denali-Park-Hospitality-Worker-I-Denali-National-Park-Tours-AK-99755/1402163200/"
"Delaware North — Tenaya Lodge at Yosemite","Lodge and restaurant work at Fish Camp, CA gateway property to Yosemite; hires housekeepers, servers, hosts, dishwashers","YOU GET PAID","Housekeeper $18.74–$19.00/hr; Host $17.90/hr + tips; Server $16.90/hr + tips; Dishwasher $17.78/hr. $500 season-completion bonus for those working through Jan 5, 2027. Housing terms unverified for this property","Unverified","Fish Camp, CA (Yosemite gateway)","Seasonal; varies by role","Post-HS / Both","Open","Operating — postings active May 2026","https://careers.delawarenorth.com/grand-canyon/"
"Pursuit Collection — Glacier Park Lodge","Concessionaire running Glacier Park Lodge (East Glacier) and West Glacier properties in and adjacent to Glacier National Park","YOU GET PAID","$15/hr (housekeeper, front desk) to $20+/hr (Cook II); Baker $17.50/hr. Housing deducted: $101.50/wk (Glacier Park Lodge dorm) including mandatory $14.50/day meal plan (~$206/wk for housing+meals). Net for $15/hr, 40 hrs: ~$394/wk after deductions","Unverified","Glacier National Park area, East Glacier / West Glacier, MT","~Apr–Sep 2026","Post-HS / Both","Open","Operating — 2026 placements documented; Flathead County approved new employee housing expansion Mar 2026","https://www.tbw.pl/wp-content/uploads/Glacier-Park-by-Pursuit-Glacier-Park-Lodge-Cook-1-Prep-Cook-2026-Summer-1.pdf"
"Forever Resorts / Aramark Destinations — Grand Canyon North Rim","Concessionaire hospitality at the remote, seasonal North Rim of Grand Canyon; retail, food service, maintenance roles","YOU GET PAID","Wage unverified for 2026 — no numeric figure indexed. CRITICAL 2026 NOTE: Traditional employee housing is unavailable due to prior-year disaster; employees must bring their own RV. Full-hookup spaces also limited","Unverified","Grand Canyon National Park, North Rim, AZ","Seasonal (North Rim typically May–Oct)","Post-HS / Both","Open","Operating but housing severely disrupted — verify before accepting offer","https://careers.aramarkdestinations.com/parks/"
"NPS Seasonal Ranger — Interpretation / Visitor Services","Federal seasonal Park Ranger (GS-0025) or Park Guide (GS-0090): visitor center staffing, guided walks, formal talks, resource interpretation","YOU GET PAID","GS-03: ~$13.28–$17.26/hr base (locality increases this; USAJOBS postings show ~$17.30–$19.52/hr with locality). GS-05: ~$19.52–$28.69/hr with locality. No federal housing automatically provided; availability and cost vary by park","No referral bonus — federal jobs; applications via USAJOBS only","Multiple parks nationwide; examples: Grand Teton $19.52/hr, Kenai Fjords $22.07/hr + 3% AK COLA","Typically ~1,039 hrs (May/Jun–Sep); some 9-month appointments","Post-HS / Both","Competitive","Active but materially disrupted — 14% below 2024 staffing levels as of early Apr 2026; onboarding backlogs; still worth applying via USAJOBS","https://www.nps.gov/aboutus/how-to-apply.htm"
"USFS Wildland Firefighter — Entry Crew (GW-3 to GW-5)","Federal seasonal wildland firefighter on engine crews, hand crews, or helitack; direct suppression and prevention work under 2025 GW pay reform","YOU GET PAID","GW-3: $21.14/hr; GW-4: ~$23.72/hr; GW-5: $25.37/hr. Overtime, hazard-duty pay, and Incident Response Premium Pay add to base. Seasonal; housing not automatic — check individual announcement. From Sep 14, 2026, new 25% hazardous-duty differential for prescribed fire assignments","No referral bonus — federal jobs via USAJOBS","National Forests and BLM lands nationwide; specific units vary by announcement","Seasonal; 1,039 hrs (≈6 months) typical; permanent-seasonal positions also available","Post-HS / Both","Competitive","Operating — USFS 2026 wildland fire careers page active; federal hiring delays affect some positions","https://www.fs.usda.gov/working-with-us/careers/recruitment-events/2026-wildland-fire-careers-opportunities"
"BLM Call-When-Needed (AD) Firefighter","Bureau of Land Management as-needed firefighter hired for specific fire or severity assignments only; not guaranteed seasonal employment","YOU GET PAID","$22.16/hr (BLM Arizona 2026 posting); paid only during qualifying assignments, not between fires. No housing provided — positions are call-when-needed","No referral bonus — federal jobs","BLM lands; Arizona example found; varies by state","Call-when-needed; assignment length varies","Post-HS / Both","Open (limited experience required for entry)","Operating — BLM Arizona recruiting 2026","https://www.blm.gov/announcement/blm-arizona-seasonal-firefighters"
"EPIK (English Program in Korea)","South Korean Ministry of Education program placing native English-speaking teachers in public elementary, middle, and high schools. US citizens are among the 7 eligible nationalities (USA, UK, Canada, Ireland, Australia, NZ, South Africa). Comes with free furnished housing.","YOU GET PAID","KRW 2,100,000–2,800,000/mo (~USD $1,550–2,070) depending on qualifications (Fall 2026 pay scale, updated May 4, 2026). Plus: settlement allowance KRW 300,000, entrance allowance KRW 1,800,000 at contract end of first month, severance ~1 month salary. FREE furnished housing. Medical insurance (employer pays 50%). Flight not paid. Application via recruiter or EPIK direct.","Employer-side recruiter fee: EPIK's official recruiting partners (e.g. Korvia, Reach to Teach, Teach Away) charge the Korean government/school zero to participants but collect an employer-side placement fee. Some recruiters have affiliate programs paying USD $50–200 per placed teacher referral (unpublished; contact individually). TEFL certificate courses used for EPIK qualification pay affiliates $20–60/sale.","South Korea (public schools nationwide)","1 year, renewable","Must have bachelor's degree + 100hr TEFL/TESOL or teaching credential; under age 62","Moderate — two intakes/year (Feb, Aug); US citizens apply via EPIK office or recruiter","OPEN to US citizens. Age under 62. Bachelor's degree + TEFL/TESOL required.","https://www.epik.go.kr/web/epik/contents/Salarybenefits"
"TaLK (Teach and Learn in Korea)","South Korean government scholarship for undergraduates (not yet graduated) from English-speaking countries to teach in rural elementary schools. Designed specifically for undergraduate students, unlike EPIK which requires a completed degree.","YOU GET PAID","Monthly stipend KRW 1,500,000 (~USD $1,100). Settlement allowance KRW 300,000. Furnished housing provided free. Health insurance included. Round-trip airfare paid by program. No program fee charged to participants.","No affiliate program. Government-administered via NIIED. TEFL course affiliates ($20–60/sale) may benefit indirectly if applicants pursue TEFL certificates to strengthen applications.","South Korea (rural elementary schools)","6 months, renewable up to 18 months (total)","Must be currently enrolled undergraduate (no completed degree required)","Moderate — scholarship program with application and interview; rural placements only","OPEN to US citizens who are current undergraduates. No degree required. Age no fixed cap.","https://www.talk.go.kr"
"TAPIF (Teaching Assistant Program in France)","French Ministry of Education program placing US citizens as English language assistants in French public primary and secondary schools. 12 hours/week teaching, 7-month contract. French B1 required. Only open to US citizens and green card holders.","YOU GET PAID","Gross stipend EUR 1,010.67/mo; net approximately EUR 810/mo after French social security deductions. Plus: French national health insurance (CPAM). No housing provided (must find own). Startup costs USD $2,000–3,000 recommended (first month's rent + deposit). Application fee $80. Net positive by end of 7-month contract but tight month-to-month in Paris.","No participant-facing affiliate program. TEFL cert providers (ITA, Premier TEFL) have affiliate programs paying $20–60/sale; they heavily promote TAPIF as reason to buy their courses. Villa Albertine/TAPIF recruits directly.","France (mainland + overseas departments: Guadeloupe, Martinique, French Guiana, Réunion)","7 months (October 1 – April 30)","Age 20–35. Must be US citizen or green card holder. At least 3 years of higher education completed. French B1 required.","Moderate — approximately 1,200 positions; acceptance rate historically ~60-65%","OPEN to US citizens. Age 20–35. B1 French required. $80 application fee. Closes ~February.","https://tapif.org"
"NALCAP / Auxiliares de Conversación (Spain)","Spanish Ministry of Education program placing North American language assistants in Spanish public schools for 16 hours/week, October–June. Open to US and Canadian citizens (NALCAP) and Canadian citizens (BCAIP). No degree required — current university sophomores and above may apply.","YOU GET PAID","Monthly stipend EUR 800–1,000/mo depending on region (~USD $870–1,090). Health insurance included (required for long-stay visa). No housing provided. Visa costs ~EUR 160 long-stay student visa. Net positive over 8 months but stipend is tight in Madrid/Barcelona.","No participant affiliate. TEFL cert providers and study abroad consultants promote NALCAP and earn $20–60/course sale. No employer-side recruiter fee (government program). Meddeas (private organization placing assistants in Spanish private schools) charges schools and runs an affiliate referral program (contact for rates).","Spain (public schools, various regions)","~8 months (October–May/June)","Age no cap. Must be current university sophomore or above OR recent grad. US citizenship.","Low-Moderate — thousands of positions; competitive in popular regions","OPEN to US citizens. No minimum age beyond being in university. Apply June.","https://www.educacionfpydeportes.gob.es/eeuu/dam/jcr:1fd748fe-b5bd-4c6a-9b04-35299c9017af/01-2026-2027-nalcap-general-information--4-.pdf"
